id,X,Y,NUME,JUDET,JUDET AUTO,POPULATIE (in 2002),REGIUNE
1873,26.87,46.5,Sarata,Bacau,BC,1708,Nord-Est
1874,26.88,46.46,Valea Seaca,Bacau,BC,2356,Nord-Est
1875,26.62,46.21,Oituz,Bacau,BC,6461,Nord-Est
1876,26.6,46.21,Calcai,Bacau,BC,477,Nord-Est
1877,26.58,46.2,Ferestrau-Oituz,Bacau,BC,1036,Nord-Est
1878,26.47,46.17,Harja,Bacau,BC,450,Nord-Est
1879,26.64,46.22,Marginea,Bacau,BC,684,Nord-Est
1880,26.46,46.14,Poiana Sarata,Bacau,BC,355,Nord-Est
1881,27.26,46.48,Oncesti,Bacau,BC,310,Nord-Est
1882,27.24,46.46,Barboasa,Bacau,BC,214,Nord-Est
1883,27.26,46.46,Dealu Perjului,Bacau,BC,260,Nord-Est
1884,27.26,46.45,Oncestii Vechi,Bacau,BC,61,Nord-Est
1885,27.25,46.5,Satu Nou,Bacau,BC,168,Nord-Est
1886,27.25,46.52,Tarnita,Bacau,BC,590,Nord-Est
1887,27.28,46.46,Taula,Bacau,BC,69,Nord-Est
1888,27.02,46.28,Orbeni,Bacau,BC,2182,Nord-Est
1889,27.02,46.26,Scurta,Bacau,BC,1958,Nord-Est
1890,26.13,46.53,Palanca,Bacau,BC,849,Nord-Est
1891,26.09,46.47,Cadaresti,Bacau,BC,138,Nord-Est
1892,26.12,46.52,Ciughes,Bacau,BC,2040,Nord-Est
1893,26.11,46.46,Pajistea,Bacau,BC,41,Nord-Est
1894,26.12,46.54,Popoiu,Bacau,BC,780,Nord-Est
1895,26.99,46.31,Parava,Bacau,BC,885,Nord-Est
1896,26.99,46.3,Dragusani,Bacau,BC,972,Nord-Est
1897,26.93,46.31,Radoaia,Bacau,BC,987,Nord-Est
1898,26.97,46.32,Teius,Bacau,BC,306,Nord-Est
1899,27.11,46.49,Parincea,Bacau,BC,847,Nord-Est
1900,27.17,46.5,Barna,Bacau,BC,29,Nord-Est
1901,27.08,46.48,Milestii de Jos,Bacau,BC,150,Nord-Est
1902,27.07,46.49,Milestii de Sus,Bacau,BC,83,Nord-Est
1903,27.11,46.45,Nanesti,Bacau,BC,835,Nord-Est
1904,27.19,46.48,Nastaseni,Bacau,BC,121,Nord-Est
1905,27.17,46.48,Poieni,Bacau,BC,83,Nord-Est
1906,27.17,46.5,Satu Nou,Bacau,BC,56,Nord-Est
1907,27.14,46.45,Vladnic,Bacau,BC,941,Nord-Est
1908,27.09,46.34,Pancesti,Bacau,BC,1403,Nord-Est
1909,27.13,46.34,Chilia Benei,Bacau,BC,111,Nord-Est
1910,27.09,46.32,Dienet,Bacau,BC,624,Nord-Est
1911,27.12,46.33,Fulgeris,Bacau,BC,341,Nord-Est
1912,27.14,46.42,Fundu Vaii,Bacau,BC,135,Nord-Est
1913,27.1,46.36,Motoc,Bacau,BC,133,Nord-Est
1914,27.11,46.39,Petresti,Bacau,BC,672,Nord-Est
1915,27.13,46.41,Soci,Bacau,BC,589,Nord-Est
1916,26.65,46.25,Pargaresti,Bacau,BC,1202,Nord-Est
1917,26.65,46.23,Bahna,Bacau,BC,594,Nord-Est
1918,26.65,46.24,Nicoresti,Bacau,BC,902,Nord-Est
1919,26.64,46.26,Parau Boghii,Bacau,BC,336,Nord-Est
1920,26.65,46.24,Satu Nou,Bacau,BC,1699,Nord-Est
1921,26.61,46.59,Parjol,Bacau,BC,929,Nord-Est
1922,26.58,46.57,Bahnaseni,Bacau,BC,865,Nord-Est
1923,26.57,46.59,Barnesti,Bacau,BC,270,Nord-Est
1924,26.6,46.62,Basasti,Bacau,BC,682,Nord-Est
1925,26.63,46.6,Campeni,Bacau,BC,663,Nord-Est
1926,26.61,46.61,Haineala,Bacau,BC,344,Nord-Est
1927,26.63,46.59,Pustiana,Bacau,BC,2070,Nord-Est
1928,26.62,46.57,Tarata,Bacau,BC,979,Nord-Est
1929,27.22,46.68,Plopana,Bacau,BC,1006,Nord-Est
1930,27.25,46.66,Budesti,Bacau,BC,391,Nord-Est
1931,27.24,46.66,Dorneni,Bacau,BC,31,Nord-Est
1932,27.19,46.7,Fundu Tutovei,Bacau,BC,536,Nord-Est
1933,27.26,46.68,Itcani,Bacau,BC,320,Nord-Est
1934,27.28,46.65,Rusenii Razesi,Bacau,BC,220,Nord-Est
1935,27.26,46.65,Rusenii de Sus,Bacau,BC,211,Nord-Est
1936,27.3,46.65,Straminoasa,Bacau,BC,443,Nord-Est
1937,27.2,46.66,Tagara,Bacau,BC,0,Nord-Est
1938,27.39,46.2,Podu Turcului,Bacau,BC,2880,Nord-Est
1939,27.36,46.2,Balanesti,Bacau,BC,172,Nord-Est
1940,27.44,46.21,Cabesti,Bacau,BC,829,Nord-Est
1941,27.48,46.2,Fichitesti,Bacau,BC,106,Nord-Est
1942,27.36,46.17,Giurgioana,Bacau,BC,105,Nord-Est
1943,27.37,46.19,Hanta,Bacau,BC,44,Nord-Est
1944,27.35,46.2,Lehancea,Bacau,BC,359,Nord-Est
1945,27.44,46.2,Plopu,Bacau,BC,246,Nord-Est
1946,27.36,46.18,Racusana,Bacau,BC,59,Nord-Est
1947,27.34,46.23,Sarbi,Bacau,BC,531,Nord-Est
1948,26.54,46.47,Poduri,Bacau,BC,2403,Nord-Est
1949,26.58,46.48,Bucsesti,Bacau,BC,1238,Nord-Est
1950,26.58,46.47,Cernu,Bacau,BC,1421,Nord-Est
1951,26.6,46.49,Cornet,Bacau,BC,386,Nord-Est
1952,26.56,46.49,Negreni,Bacau,BC,107,Nord-Est
1953,26.55,46.48,Prohozesti,Bacau,BC,1018,Nord-Est
1954,26.55,46.46,Valea Sosii,Bacau,BC,1162,Nord-Est
1955,26.75,46.7,Racova,Bacau,BC,2111,Nord-Est
1956,26.8,46.69,Gura Vaii,Bacau,BC,697,Nord-Est
1957,26.78,46.7,Halmacioaia,Bacau,BC,296,Nord-Est
1958,26.8,46.7,Iliesi,Bacau,BC,195,Nord-Est
1959,27.01,46.33,Racaciuni,Bacau,BC,2781,Nord-Est
1960,26.93,46.36,Ciucani,Bacau,BC,493,Nord-Est
1961,26.89,46.36,Fundu Racaciuni,Bacau,BC,1913,Nord-Est
1962,26.96,46.38,Gheorghe Doja,Bacau,BC,1057,Nord-Est
1963,26.97,46.34,Gasteni,Bacau,BC,1137,Nord-Est
1964,27.04,46.33,Rastoaca,Bacau,BC,64,Nord-Est
1965,27.37,46.44,Rachitoasa,Bacau,BC,1618,Nord-Est
1966,27.36,46.49,Barcana,Bacau,BC,535,Nord-Est
1967,27.42,46.36,Bucsa,Bacau,BC,46,Nord-Est
1968,27.36,46.51,Buda,Bacau,BC,312,Nord-Est
1969,27.4,46.37,Burdusaci,Bacau,BC,422,Nord-Est
1970,27.33,46.54,Danaila,Bacau,BC,118,Nord-Est
1971,27.35,46.42,Dumbrava,Bacau,BC,633,Nord-Est
1972,27.35,46.5,Farcasa,Bacau,BC,67,Nord-Est
1973,27.35,46.46,Fundatura Rachitoasa,Bacau,BC,331,Nord-Est
1974,27.39,46.37,Haghiac,Bacau,BC,32,Nord-Est
1975,27.34,46.53,Magazia,Bacau,BC,117,Nord-Est
1976,27.37,46.4,Movilita,Bacau,BC,104,Nord-Est
1977,27.38,46.38,Oprisesti,Bacau,BC,335,Nord-Est
1978,27.34,46.55,Putini,Bacau,BC,194,Nord-Est
1979,27.4,46.4,Tochilea,Bacau,BC,224,Nord-Est
1980,27.09,46.72,Rosiori,Bacau,BC,977,Nord-Est
1981,27.14,46.73,Misihanesti,Bacau,BC,22,Nord-Est
1982,27.07,46.71,Neguseni,Bacau,BC,76,Nord-Est
1983,27.08,46.75,Poieni,Bacau,BC,362,Nord-Est
1984,27.12,46.73,Valea Mare,Bacau,BC,349,Nord-Est
1985,27.14,46.71,Valea Mica,Bacau,BC,56,Nord-Est
1986,27.11,46.21,Sascut,Bacau,BC,2420,Nord-Est
1987,27.14,46.2,Beresti,Bacau,BC,1435,Nord-Est
1988,27.08,46.17,Contesti,Bacau,BC,674,Nord-Est
1989,27.07,46.21,Pancesti,Bacau,BC,2998,Nord-Est
1990,27.07,46.19,Sascut-Sat,Bacau,BC,2178,Nord-Est
1991,27.1,46.19,Schineni,Bacau,BC,589,Nord-Est
1992,27.06,46.18,Valea Nacului,Bacau,BC,213,Nord-Est
1993,26.74,46.44,Sanduleni,Bacau,BC,1515,Nord-Est
1994,26.77,46.49,Barzulesti,Bacau,BC,212,Nord-Est
1995,26.77,46.47,Coman,Bacau,BC,931,Nord-Est
1996,26.72,46.42,Mateiesti,Bacau,BC,66,Nord-Est
1997,26.77,46.44,Stufu,Bacau,BC,394,Nord-Est
1998,26.72,46.43,Tisa,Bacau,BC,6,Nord-Est
1999,26.7,46.45,Versesti,Bacau,BC,1029,Nord-Est
2000,26.94,46.62,Saucesti,Bacau,BC,1374,Nord-Est
2001,26.92,46.62,Bogdan Voda,Bacau,BC,315,Nord-Est
2002,26.93,46.69,Costei,Bacau,BC,0,Nord-Est
2003,26.95,46.64,Schineni,Bacau,BC,661,Nord-Est
2004,26.93,46.67,Siretu,Bacau,BC,630,Nord-Est
2005,26.92,46.7,Serbesti,Bacau,BC,497,Nord-Est
2006,26.66,46.55,Scorteni,Bacau,BC,1479,Nord-Est
2007,26.7,46.61,Bogdanesti,Bacau,BC,71,Nord-Est
2008,26.67,46.52,Floresti,Bacau,BC,613,Nord-Est
2009,26.68,46.6,Grigoreni,Bacau,BC,747,Nord-Est
2010,26.7,46.59,Stejaru,Bacau,BC,71,Nord-Est
2011,26.7,46.61,Serpeni,Bacau,BC,76,Nord-Est
2012,27.1,46.64,Secuieni,Bacau,BC,1049,Nord-Est
2013,27.11,46.65,Balusa,Bacau,BC,79,Nord-Est
2014,27.07,46.68,Berbinceni,Bacau,BC,158,Nord-Est
2015,27.09,46.67,Chiticeni,Bacau,BC,175,Nord-Est
2016,27.12,46.69,Ciuturesti,Bacau,BC,747,Nord-Est
2017,27.08,46.66,Fundeni,Bacau,BC,195,Nord-Est
2018,27.15,46.62,Glodisoarele,Bacau,BC,194,Nord-Est
2019,27.15,46.68,Odobesti,Bacau,BC,459,Nord-Est
2020,27.14,46.65,Tisa-Silvestri,Bacau,BC,872,Nord-Est
2021,27.11,46.61,Valea Fanatului,Bacau,BC,0,Nord-Est
2022,27.08,46.69,Valeni,Bacau,BC,32,Nord-Est
2023,26.53,46.55,Solont,Bacau,BC,1614,Nord-Est
2024,26.53,46.59,Cucuieti,Bacau,BC,1363,Nord-Est
2025,26.55,46.57,Sarata,Bacau,BC,849,Nord-Est
2026,27.31,46.43,Stanisesti,Bacau,BC,583,Nord-Est
2027,27.31,46.4,Balotesti,Bacau,BC,306,Nord-Est
2028,27.32,46.38,Belciuneasa,Bacau,BC,177,Nord-Est
2029,27.34,46.36,Benesti,Bacau,BC,371,Nord-Est
2030,27.34,46.39,Craiesti,Bacau,BC,587,Nord-Est
2031,27.29,46.44,Gorghesti,Bacau,BC,117,Nord-Est
2032,27.31,46.47,Slobozia,Bacau,BC,1774,Nord-Est
2033,27.3,46.54,Slobozia Noua,Bacau,BC,596,Nord-Est
2034,27.28,46.43,Valeni,Bacau,BC,85,Nord-Est
2035,26.72,46.54,Strugari,Bacau,BC,767,Nord-Est
2036,26.71,46.55,Cetatuia,Bacau,BC,320,Nord-Est
2037,26.75,46.51,Iaz,Bacau,BC,208,Nord-Est
2038,26.7,46.52,Nadisa,Bacau,BC,331,Nord-Est
2039,26.78,46.51,Petricica,Bacau,BC,480,Nord-Est
2040,26.76,46.54,Rachitisu,Bacau,BC,481,Nord-Est
2041,27,46.49,Tamasi,Bacau,BC,1190,Nord-Est
2042,26.99,46.47,Chetris,Bacau,BC,750,Nord-Est
2043,27,46.51,Furnicari,Bacau,BC,518,Nord-Est
2044,26.99,46.43,Gioseni,Bacau,BC,3243,Nord-Est
2045,27.21,46.22,Tatarasti,Bacau,BC,407,Nord-Est
2046,27.19,46.2,Cornii de Jos,Bacau,BC,152,Nord-Est
2047,27.18,46.22,Cornii de Sus,Bacau,BC,919,Nord-Est
2048,27.2,46.25,Dragesti,Bacau,BC,461,Nord-Est
2049,27.18,46.27,Gherdana,Bacau,BC,437,Nord-Est
2050,27.2,46.24,Giurgeni,Bacau,BC,271,Nord-Est
2051,27.21,46.21,Ungureni,Bacau,BC,100,Nord-Est
2052,26.67,46.26,Targu Trotus,Bacau,BC,1946,Nord-Est
2053,26.69,46.26,Tuta,Bacau,BC,1949,Nord-Est
2054,26.66,46.28,Viisoara,Bacau,BC,1171,Nord-Est
2055,27.04,46.63,Traian,Bacau,BC,1478,Nord-Est
2056,27.02,46.67,Bogdanesti,Bacau,BC,547,Nord-Est
2057,27.04,46.65,Hertioana de Jos,Bacau,BC,169,Nord-Est
2058,27.01,46.65,Hertioana-Razesi,Bacau,BC,61,Nord-Est
2059,26.98,46.65,Prajesti,Bacau,BC,2482,Nord-Est
2060,27.07,46.65,Zapodia,Bacau,BC,491,Nord-Est
2061,27.11,46.52,Ungureni,Bacau,BC,848,Nord-Est
2062,27.13,46.59,Bartasesti,Bacau,BC,275,Nord-Est
2063,27.08,46.52,Bibiresti,Bacau,BC,779,Nord-Est
2064,27.14,46.52,Bota,Bacau,BC,0,Nord-Est
2065,27.09,46.57,Botesti,Bacau,BC,544,Nord-Est
2066,27.09,46.55,Garla Anei,Bacau,BC,160,Nord-Est
2067,27.1,46.58,Viforeni,Bacau,BC,471,Nord-Est
2068,27.12,46.51,Zlatari,Bacau,BC,184,Nord-Est
2069,27.09,46.13,Urechesti,Bacau,BC,1729,Nord-Est
2070,27.04,46.13,Cornatel,Bacau,BC,707,Nord-Est
2071,27.07,46.12,Lunca Dochiei,Bacau,BC,460,Nord-Est
2072,27.03,46.13,Satu Nou,Bacau,BC,423,Nord-Est
2073,27.12,46.11,Slobozia,Bacau,BC,548,Nord-Est
2074,27.05,46.24,Valea Seaca,Bacau,BC,2835,Nord-Est
2075,27.04,46.25,Cucova,Bacau,BC,734,Nord-Est
2076,27.29,46.38,Lichitiseni,Bacau,BC,231,Nord-Est
2077,27.28,46.39,Bosia,Bacau,BC,78,Nord-Est
2078,27.26,46.38,Dadesti,Bacau,BC,138,Nord-Est
2079,27.18,46.43,Dorneni,Bacau,BC,102,Nord-Est
2080,27.18,46.44,Ghilavesti,Bacau,BC,227,Nord-Est
2081,27.23,46.42,Godinestii de Jos,Bacau,BC,262,Nord-Est
2082,27.22,46.43,Godinestii de Sus,Bacau,BC,105,Nord-Est
2083,27.21,46.44,Medeleni,Bacau,BC,151,Nord-Est
2084,27.26,46.37,Nazarioaia,Bacau,BC,204,Nord-Est
2085,27.25,46.41,Reprivat,Bacau,BC,54,Nord-Est
2086,27.26,46.43,Tomozia,Bacau,BC,216,Nord-Est
2087,27.26,46.4,Tiganesti,Bacau,BC,138,Nord-Est
2088,27.23,46.4,Valea Lupului,Bacau,BC,48,Nord-Est
2089,27.2,46.45,Valea Merilor,Bacau,BC,32,Nord-Est
2090,27.19,46.46,Valea Salciei,Bacau,BC,58,Nord-Est
2091,27.27,46.4,Vultureni,Bacau,BC,165,Nord-Est
2092,26.47,46.55,Zemes,Bacau,BC,4078,Nord-Est
2093,26.4,46.63,Bolatau,Bacau,BC,1018,Nord-Est
2094,26.63,46.56,Hemieni,Bacau,BC,,Nord-Est
2095,21.94,47.05,Oradea,Bihor,BH,222741,Nord-Vest
2096,21.97,47.01,Sanmartin,Bihor,BH,3856,Nord-Vest
2097,22.02,46.98,Betfia,Bihor,BH,488,Nord-Vest
2098,21.95,47,Cihei,Bihor,BH,860,Nord-Vest
2099,21.98,46.97,Cordau,Bihor,BH,1113,Nord-Vest
2100,22,46.99,Haieu,Bihor,BH,844,Nord-Vest
2101,22,47,Rontau,Bihor,BH,389,Nord-Vest
2102,21.86,47.07,Santandrei,Bihor,BH,2631,Nord-Vest
2103,21.82,47.06,Palota,Bihor,BH,983,Nord-Vest
2104,22.4,47.06,Alesd,Bihor,BH,7609,Nord-Vest
2105,22.41,47.17,Padurea Neagra,Bihor,BH,1040,Nord-Vest
2106,22.41,47.07,Pestis,Bihor,BH,1468,Nord-Vest
2107,22.43,47.05,Tinaud,Bihor,BH,803,Nord-Vest
2108,22.39,47.03,Astileu,Bihor,BH,1528,Nord-Vest
2109,22.41,46.99,Calatea,Bihor,BH,988,Nord-Vest
2110,22.36,47.05,Chistag,Bihor,BH,660,Nord-Vest
2111,22.38,47.03,Pestere,Bihor,BH,827,Nord-Vest
2112,22.35,46.67,Beius,Bihor,BH,11923,Nord-Vest
2113,22.34,46.69,Delani,Bihor,BH,430,Nord-Vest
2114,22.46,46.54,Stei,Bihor,BH,10415,Nord-Vest
2115,22.34,47.35,Marghita,Bihor,BH,17162,Nord-Vest
2116,22.34,47.42,Chet,Bihor,BH,1110,Nord-Vest
2117,22.4,47.39,Ghenetea,Bihor,BH,799,Nord-Vest
2118,22.56,46.49,Nucet,Bihor,BH,1723,Nord-Vest
2119,22.59,46.48,Baita,Bihor,BH,659,Nord-Vest
2120,22.62,46.49,Baita-Plai,Bihor,BH,149,Nord-Vest
2121,21.66,46.8,Salonta,Bihor,BH,20660,Nord-Vest
2122,22.48,46.47,Vascau,Bihor,BH,1977,Nord-Vest
2123,22.45,46.47,Camp,Bihor,BH,390,Nord-Vest
2124,22.42,46.46,Camp-Moti,Bihor,BH,157,Nord-Vest
2125,22.42,46.48,Colesti,Bihor,BH,313,Nord-Vest
2126,22.5,46.49,Varzarii de Jos,Bihor,BH,315,Nord-Vest
2127,22.52,46.47,Varzarii de Sus,Bihor,BH,185,Nord-Vest
2128,22.38,47.32,Abram,Bihor,BH,863,Nord-Vest
2129,22.4,47.32,Cohani,Bihor,BH,154,Nord-Vest
2130,22.46,47.35,Dijir,Bihor,BH,371,Nord-Vest
2131,22.42,47.35,Iteu,Bihor,BH,372,Nord-Vest
2132,22.39,47.34,Iteu Nou,Bihor,BH,184,Nord-Vest
2133,22.42,47.29,Margine,Bihor,BH,640,Nord-Vest
2134,22.45,47.3,Satu Barba,Bihor,BH,289,Nord-Vest
2135,22.43,47.32,Suiug,Bihor,BH,544,Nord-Vest
2136,22.25,47.32,Abramut,Bihor,BH,486,Nord-Vest
2137,22.24,47.35,Crestur,Bihor,BH,461,Nord-Vest
2138,22.23,47.32,Fancica,Bihor,BH,378,Nord-Vest
2139,22.3,47.34,Petreu,Bihor,BH,1517,Nord-Vest
2140,22.5,47.04,Auseu,Bihor,BH,532,Nord-Vest
2141,22.49,47.02,Cacuciu Vechi,Bihor,BH,190,Nord-Vest
2142,22.52,47.1,Codrisoru,Bihor,BH,63,Nord-Vest
2143,22.52,47.02,Gheghie,Bihor,BH,272,Nord-Vest
2144,22.48,47.05,Grosi,Bihor,BH,1002,Nord-Vest
2145,22.54,47.04,Luncsoara,Bihor,BH,1134,Nord-Vest
2146,21.53,46.67,Avram Iancu,Bihor,BH,2047,Nord-Vest
2147,21.47,46.67,Ant,Bihor,BH,230,Nord-Vest
2148,21.56,46.64,Tamasda,Bihor,BH,1159,Nord-Vest
2149,22.54,47.3,Balc,Bihor,BH,1359,Nord-Vest
2150,22.53,47.33,Almasu Mare,Bihor,BH,960,Nord-Vest
2151,22.51,47.32,Almasu Mic,Bihor,BH,552,Nord-Vest
2152,22.45,47.31,Ghida,Bihor,BH,203,Nord-Vest
2153,22.46,47.3,Saldabagiu de Barcau,Bihor,BH,608,Nord-Vest
2154,21.8,46.71,Batar,Bihor,BH,1731,Nord-Vest
2155,21.72,46.74,Arpasel,Bihor,BH,905,Nord-Vest
2156,21.8,46.69,Talpos,Bihor,BH,1727,Nord-Vest
2157,21.84,46.72,Taut,Bihor,BH,1001,Nord-Vest
2158,21.92,47.15,Biharia,Bihor,BH,3072,Nord-Vest
2159,21.94,47.17,Cauaceu,Bihor,BH,603,Nord-Vest
2160,21.9,47.23,Niuved,Bihor,BH,234,Nord-Vest
2161,21.87,47.23,Parhida,Bihor,BH,512,Nord-Vest
2162,21.92,47.19,Satu Nou,Bihor,BH,256,Nord-Vest
2163,21.93,47.22,Tamaseu,Bihor,BH,991,Nord-Vest
2164,22.52,47.38,Boianu Mare,Bihor,BH,662,Nord-Vest
2165,22.53,47.36,Corboaia,Bihor,BH,88,Nord-Vest
2166,22.57,47.37,Huta,Bihor,BH,29,Nord-Vest
2167,22.5,47.41,Pagaia,Bihor,BH,742,Nord-Vest
2168,22.5,47.36,Rugea,Bihor,BH,10,Nord-Vest
2169,22.62,46.99,Borod,Bihor,BH,1515,Nord-Vest
2170,22.56,47.01,Borozel,Bihor,BH,671,Nord-Vest
2171,22.58,47.02,Cetea,Bihor,BH,408,Nord-Vest
2172,22.64,46.98,Cornitel,Bihor,BH,631,Nord-Vest
2173,22.68,47.04,Serani,Bihor,BH,767,Nord-Vest
2174,22.57,46.99,Valea Mare de Cris,Bihor,BH,547,Nord-Vest
2175,21.82,47.12,Bors,Bihor,BH,1118,Nord-Vest
2176,21.84,47.17,Santaul Mare,Bihor,BH,311,Nord-Vest
2177,21.83,47.14,Santaul Mic,Bihor,BH,403,Nord-Vest
2178,21.84,47.1,Santion,Bihor,BH,1453,Nord-Vest
2179,22.6,46.93,Bratca,Bihor,BH,1729,Nord-Vest
2180,22.55,46.87,Damis,Bihor,BH,883,Nord-Vest
2181,22.62,46.96,Beznea,Bihor,BH,1600,Nord-Vest
2182,22.63,46.92,Lorau,Bihor,BH,560,Nord-Vest
2183,22.66,46.89,Ponoara,Bihor,BH,850,Nord-Vest
2184,22.64,46.95,Valea Crisului,Bihor,BH,586,Nord-Vest
2185,22.24,47.16,Brusturi,Bihor,BH,1478,Nord-Vest
2186,22.29,47.11,Cuiesd,Bihor,BH,507,Nord-Vest
2187,22.33,47.14,Loranta,Bihor,BH,161,Nord-Vest
2188,22.23,47.13,Orvisele,Bihor,BH,678,Nord-Vest
2189,22.22,47.17,Paulesti,Bihor,BH,442,Nord-Vest
2190,22.26,47.14,Picleu,Bihor,BH,948,Nord-Vest
2191,22.28,47.13,Tiganestii de Cris,Bihor,BH,435,Nord-Vest
2192,22.27,47.16,Varasau,Bihor,BH,174,Nord-Vest
2193,22.5,46.68,Budureasa,Bihor,BH,1604,Nord-Vest
2194,22.48,46.7,Burda,Bihor,BH,473,Nord-Vest
2195,22.47,46.66,Saca,Bihor,BH,231,Nord-Vest
2196,22.45,46.65,Saliste de Beius,Bihor,BH,284,Nord-Vest
2197,22.43,46.66,Teleac,Bihor,BH,227,Nord-Vest
2198,22.26,47.4,Buduslau,Bihor,BH,1016,Nord-Vest
2199,22.25,47.39,Albis,Bihor,BH,1059,Nord-Vest
2200,22.68,46.91,Bulz,Bihor,BH,1008,Nord-Vest
2201,22.69,46.88,Munteni,Bihor,BH,691,Nord-Vest
2202,22.66,46.85,Remeti,Bihor,BH,1152,Nord-Vest
2203,22.47,46.61,Buntesti,Bihor,BH,588,Nord-Vest
2204,22.53,46.58,Bradet,Bihor,BH,739,Nord-Vest
2205,22.5,46.59,Dumbravani,Bihor,BH,366,Nord-Vest
2206,22.53,46.64,Ferice,Bihor,BH,623,Nord-Vest
2207,22.46,46.62,Lelesti,Bihor,BH,514,Nord-Vest
2208,22.5,46.61,Poienii de Jos,Bihor,BH,680,Nord-Vest
2209,22.52,46.61,Poienii de Sus,Bihor,BH,775,Nord-Vest
2210,22.5,46.62,Saud,Bihor,BH,448,Nord-Vest
2211,22.52,46.59,Stancesti,Bihor,BH,321,Nord-Vest
2212,22.37,46.77,Cabesti,Bihor,BH,1054,Nord-Vest
2213,22.34,46.77,Goila,Bihor,BH,244,Nord-Vest
2214,22.36,46.75,Gurbesti,Bihor,BH,234,Nord-Vest
2215,22.36,46.75,Josani,Bihor,BH,399,Nord-Vest
2216,22.43,46.78,Sohodol,Bihor,BH,397,Nord-Vest
2217,22.1,46.74,Capalna,Bihor,BH,468,Nord-Vest
2218,22.09,46.75,Ginta,Bihor,BH,441,Nord-Vest
2219,22.1,46.75,Rohani,Bihor,BH,183,Nord-Vest
2220,22.15,46.74,Saldabagiu Mic,Bihor,BH,686,Nord-Vest
2221,22.11,46.71,Suplacu de Tinca,Bihor,BH,543,Nord-Vest
2222,22.49,46.46,Carpinet,Bihor,BH,620,Nord-Vest
2223,22.47,46.44,Izbuc,Bihor,BH,736,Nord-Vest
2224,22.52,46.45,Leheceni,Bihor,BH,513,Nord-Vest
2225,22.48,46.42,Calugari,Bihor,BH,844,Nord-Vest
2226,21.71,46.91,Cefa,Bihor,BH,1269,Nord-Vest
2227,21.62,46.92,Ateas,Bihor,BH,225,Nord-Vest
2228,21.73,46.95,Berechiu,Bihor,BH,344,Nord-Vest
2229,21.79,46.9,Bicaci,Bihor,BH,591,Nord-Vest
2230,21.79,46.93,Gepiu,Bihor,BH,1017,Nord-Vest
2231,21.75,46.89,Inand,Bihor,BH,899,Nord-Vest
2232,21.71,46.98,Roit,Bihor,BH,645,Nord-Vest
2233,21.71,46.96,Sannicolau Roman,Bihor,BH,1218,Nord-Vest
2234,22.17,46.86,Ceica,Bihor,BH,934,Nord-Vest
2235,22.15,46.88,Bucium,Bihor,BH,279,Nord-Vest
2236,22.2,46.86,Ceisoara,Bihor,BH,763,Nord-Vest
2237,22.24,46.89,Corbesti,Bihor,BH,639,Nord-Vest
2238,22.2,46.89,Cotiglet,Bihor,BH,594,Nord-Vest
2239,22.18,46.84,Dusesti,Bihor,BH,640,Nord-Vest
2240,22.13,46.84,Incesti,Bihor,BH,499,Nord-Vest
2241,22,47.14,Cetariu,Bihor,BH,1039,Nord-Vest
2242,21.96,47.12,Paleu,Bihor,BH,489,Nord-Vest
2243,21.98,47.09,Saldabagiu de Munte,Bihor,BH,588,Nord-Vest
2244,22.07,47.16,Sisterea,Bihor,BH,670,Nord-Vest
2245,22.11,47.14,Susturogi,Bihor,BH,384,Nord-Vest
2246,22.03,47.16,Tautelec,Bihor,BH,250,Nord-Vest
2247,22,47.12,Uileacu de Munte,Bihor,BH,555,Nord-Vest
2248,22.12,47.38,Cherechiu,Bihor,BH,805,Nord-Vest
2249,22.11,47.43,Chesereu,Bihor,BH,1107,Nord-Vest
2250,22.17,47.39,Targusor,Bihor,BH,634,Nord-Vest
2251,22.23,47.28,Chislaz,Bihor,BH,608,Nord-Vest
2252,22.3,47.31,Chiraleu,Bihor,BH,654,Nord-Vest
2253,22.2,47.23,Haucesti,Bihor,BH,89,Nord-Vest
2254,22.26,47.26,Misca,Bihor,BH,1017,Nord-Vest
2255,22.2,47.26,Poclusa de Barcau,Bihor,BH,417,Nord-Vest
2256,22.19,47.24,Sarsig,Bihor,BH,332,Nord-Vest
2257,22.25,47.29,Sanlazar,Bihor,BH,456,Nord-Vest
2258,22.13,47.24,Ciuhoi,Bihor,BH,457,Nord-Vest
2259,22.16,47.24,Cenalos,Bihor,BH,304,Nord-Vest
2260,22.13,47.26,Saniob,Bihor,BH,1299,Nord-Vest
2261,22.09,47.24,Sfarnas,Bihor,BH,299,Nord-Vest
2262,21.58,46.73,Ciumeghiu,Bihor,BH,1742,Nord-Vest
2263,21.61,46.69,Boiu,Bihor,BH,900,Nord-Vest
2264,21.68,46.71,Ghiorac,Bihor,BH,1922,Nord-Vest
2265,22.52,46.51,Campani,Bihor,BH,1007,Nord-Vest
2266,22.54,46.5,Fanate,Bihor,BH,752,Nord-Vest
2267,22.5,46.54,Harsesti,Bihor,BH,403,Nord-Vest
2268,22.54,46.52,Sighistel,Bihor,BH,418,Nord-Vest
2269,22.53,46.55,Valea de Sus,Bihor,BH,418,Nord-Vest
2270,22,46.74,Cociuba Mare,Bihor,BH,1059,Nord-Vest
2271,22.05,46.71,Carasau,Bihor,BH,809,Nord-Vest
2272,22.03,46.75,Chesa,Bihor,BH,818,Nord-Vest
